Best distance: 9644.21802018
Best path: [43, 49, 19, 22, 17, 30, 20, 6, 1, 41, 29, 16, 2, 40, 7, 18, 44, 31, 48, 0, 21, 39, 4, 14, 5, 3, 24, 26, 12, 51, 13, 46, 25, 27, 11, 50, 10, 32, 8, 9, 42, 45, 28, 15, 36, 37, 23, 47, 33, 35, 38, 34, 43]
Best iteration: 10
Computation time: 6.93000006676
Iteration;AltercentricAnt;BadConflictAnt;ClassicAnt;EgocentricAnt;GoodConflictAnt
1;17910.8195132;;;13257.4675554;16425.7639059
2;17848.7982998;;;10704.5228336;13945.2499032
3;14557.7123766;;;10704.5228336;13892.4215798
4;14044.930428;;;10704.5228336;11434.6989251
5;14044.930428;;;10704.5228336;11434.6989251
6;12829.6367781;;;10704.5228336;11434.6989251
7;12829.6367781;;;10704.5228336;11434.6989251
8;11071.5119426;;;10704.5228336;10143.7597167
9;11071.5119426;;;10704.5228336;10143.7597167
10;10415.343108;;;10704.5228336;9644.21802018
